Samples	ID3	ID8	ID11	ID13
TCGA-BF-A1PV	1	0	0	0
TCGA-BF-A1PZ	0	0	0	1
TCGA-BF-A1Q0	4	0	0	0
TCGA-BF-A3DL	7	0	0	0
TCGA-BF-A3DM	2	0	0	0
TCGA-BF-A3DN	1	0	0	0
TCGA-BF-A5EO	2	1	0	0
TCGA-BF-A5EP	0	0	0	1
TCGA-BF-A5EQ	0	0	4	0
TCGA-BF-A5ER	6	0	0	0
TCGA-BF-A5ES	0	2	0	4
TCGA-D3-A5GT	0	3	0	0
TCGA-D9-A1X3	0	0	0	1
TCGA-D9-A3Z4	0	3	0	0
TCGA-D9-A4Z3	0	7	0	0
TCGA-D9-A4Z5	2	0	0	0
TCGA-EB-A1NK	0	0	0	5
TCGA-EB-A24C	0	0	1	0
TCGA-EB-A24D	0	0	0	5
TCGA-EB-A299	0	0	1	0
TCGA-EB-A3XB	0	0	0	1
TCGA-EB-A3XC	0	4	0	0
TCGA-EB-A3XD	0	0	2	0
TCGA-EB-A3XE	1	0	0	0
TCGA-EB-A3XF	3	0	0	0
TCGA-EB-A3Y6	0	3	0	0
TCGA-EB-A3Y7	0	2	0	3
TCGA-EB-A41A	8	0	0	5
TCGA-EB-A41B	0	5	0	0
TCGA-EB-A42Y	0	2	0	0
TCGA-EB-A42Z	0	1	0	0
TCGA-EB-A430	0	0	4	3
TCGA-EB-A431	0	4	0	0
TCGA-EB-A44N	2	0	0	1
TCGA-EB-A44O	0	3	0	1
TCGA-EB-A44P	1	0	0	2
TCGA-EB-A4IS	0	0	0	2
TCGA-EB-A4XL	0	1	0	0
TCGA-EB-A551	1	2	0	0
TCGA-EB-A553	0	3	1	0
TCGA-EB-A57M	2	0	0	0
TCGA-EB-A5FP	0	2	0	0
TCGA-EB-A5SF	0	0	0	2
TCGA-EB-A5UM	2	1	0	1
TCGA-EB-A6QY	0	3	0	0
TCGA-EB-A6QZ	0	4	0	0
TCGA-EB-A6R0	4	0	0	0
TCGA-ER-A194	0	0	0	5
TCGA-ER-A196	3	0	0	0
TCGA-ER-A19K	1	2	0	0
TCGA-ER-A2NB	0	0	0	3
TCGA-ER-A2NF	1	0	0	0
TCGA-ER-A42H	0	5	0	0
TCGA-FR-A3R1	0	0	0	4
TCGA-FR-A726	0	9	0	6
TCGA-FR-A728	0	1	0	2
TCGA-FW-A5DX	0	3	0	0
TCGA-GF-A2C7	4	0	0	0
TCGA-GF-A769	1	1	0	0
TCGA-GN-A263	0	3	0	0
TCGA-GN-A269	0	3	0	0
TCGA-GN-A26C	3	5	0	0
TCGA-GN-A4U5	0	3	0	0
TCGA-HR-A2OG	0	0	0	3
TCGA-IH-A3EA	0	7	0	0
